ntrips,hhsize,nchlt12,nchgt12,nworker,nstudent,ncar,income,resloc
14,1,0,0,1,0,0,20500,1
28,1,0,0,1,0,0,31000,1
53,3,1,0,1,0,0,43000,1
27,2,0,0,1,0,1,12000,1
38,2,0,0,2,0,1,43000,1
34,1,0,0,1,0,0,12000,1
10,2,0,0,0,0,1,43000,1
17,2,0,0,0,0,0,31000,1
30,1,0,0,1,0,0,31000,1
7,1,0,0,1,0,0,20500,1
54,2,0,0,1,0,1,31000,1
20,1,0,0,1,0,0,20500,1
58,2,0,0,1,1,1,31000,1
37,1,0,0,1,0,1,31000,1
27,2,0,1,1,1,1,12000,1
42,4,2,0,2,0,1,31000,1
77,4,1,1,1,1,1,43000,1
20,1,0,0,1,0,1,20500,1
19,2,0,0,1,0,1,31000,1
71,3,0,1,2,0,1,31000,1
15,2,0,0,0,0,1,31000,1
28,2,0,0,2,0,2,43000,1
14,1,0,0,1,0,0,31000,1
32,2,0,0,2,0,1,43000,1
46,3,1,0,2,0,1,43000,1
25,1,0,0,1,0,1,31000,1
27,1,0,0,0,0,1,20500,1
35,2,0,0,2,0,2,43000,1
13,5,2,1,1,1,1,20500,1
48,3,0,1,1,1,1,43000,1
14,1,0,0,0,0,1,20500,1
25,2,0,0,2,0,1,31000,1
29,4,2,0,1,0,1,31000,1
28,4,2,0,1,0,1,31000,1
2,2,0,0,0,0,0,31000,1
53,2,0,0,2,0,1,43000,1
55,6,4,0,2,0,1,43000,1
87,3,1,0,1,0,1,31000,1
16,3,2,0,0,0,0,12000,1
61,2,0,0,2,0,1,43000,1
50,2,0,0,1,0,1,31000,1
125,4,0,2,2,1,2,43000,1
52,3,0,1,1,0,1,43000,1
87,4,2,0,1,0,1,31000,1
16,1,0,0,1,0,1,20500,1
47,3,0,1,2,1,1,43000,1
81,5,1,2,1,2,1,20500,1
3,1,0,0,0,0,0,12000,1
2,1,0,0,0,0,0,12000,1
37,2,0,0,2,0,1,43000,1
55,2,0,1,0,1,1,20500,1
46,3,0,1,1,1,1,43000,1
16,1,0,0,0,1,0,12000,1
76,4,0,2,1,2,1,43000,1
50,4,2,0,1,0,1,31000,1
45,4,2,0,1,0,1,31000,1
27,4,2,0,1,0,1,31000,1
82,2,0,0,1,0,1,20500,1
32,1,0,0,0,0,1,20500,1
48,2,0,0,0,0,0,31000,1
12,1,0,0,1,0,0,20500,1
29,1,0,0,0,1,0,12000,1
2,1,0,0,0,0,0,12000,1
15,1,0,0,1,0,1,20500,1
16,2,0,1,1,1,1,12000,1
11,1,0,0,1,0,0,20500,1
19,1,0,0,1,0,1,43000,1
29,1,0,0,1,0,0,12000,1
52,3,0,1,2,1,2,43000,1
9,3,2,0,0,0,1,31000,1
44,1,0,0,1,0,0,12000,1
19,1,0,0,0,1,0,12000,1
32,1,0,0,1,0,1,43000,1
15,1,0,0,0,0,1,20500,1
27,1,0,0,1,0,0,31000,1
25,2,0,0,0,0,0,31000,1
21,2,0,0,0,0,1,31000,1
73,3,0,1,1,1,1,43000,1
25,1,0,0,0,1,0,12000,1
30,1,0,0,1,0,1,20500,1
6,1,0,0,0,0,0,12000,1
88,4,0,2,2,2,1,31000,1
31,2,1,0,0,1,0,12000,1
32,2,0,0,1,0,1,31000,1
38,3,0,1,2,0,1,31000,1
39,4,2,0,0,0,0,20500,1
31,5,3,0,1,0,1,20500,1
35,3,1,0,1,1,1,31000,1
3,1,0,0,1,0,1,43000,1
12,1,0,0,0,0,0,20500,1
20,1,0,0,0,1,0,12000,1
6,1,0,0,1,0,1,31000,1
39,4,1,1,1,1,1,31000,1
15,5,4,0,0,0,0,12000,1
7,1,0,0,0,0,0,12000,1
18,1,0,0,0,1,0,12000,1
90,2,0,0,1,0,1,31000,1
28,3,1,0,1,0,0,31000,1
118,4,0,2,2,2,1,43000,1
112,6,2,2,1,2,1,31000,1
36,2,0,0,1,0,1,31000,1
19,1,0,0,1,0,0,12000,1
34,3,1,0,2,0,1,31000,1
46,6,0,4,1,4,0,31000,1
17,1,0,0,0,1,0,12000,1
80,4,0,2,2,2,1,31000,1
11,1,0,0,0,1,0,12000,1
5,1,0,0,0,0,0,12000,1
13,1,0,0,0,1,0,12000,1
12,1,0,0,0,1,0,12000,1
41,1,0,0,0,1,0,12000,1
52,2,0,0,2,0,1,43000,1
12,1,0,0,1,0,0,31000,1
16,2,1,0,1,0,1,20500,1
47,1,0,0,0,1,0,12000,1
45,1,0,0,0,1,0,12000,1
21,1,0,0,0,0,0,12000,1
20,1,0,0,0,1,0,12000,1
24,1,0,0,0,1,0,12000,1
11,2,0,0,2,0,0,31000,1
20,1,0,0,0,1,0,12000,1
19,1,0,0,0,1,0,12000,1
40,2,0,0,2,0,1,43000,1
33,1,0,0,0,1,0,12000,1
27,2,0,0,2,0,1,31000,2
38,3,1,0,1,0,1,31000,2
46,2,0,0,2,0,1,43000,2
13,1,0,0,0,0,0,12000,2
59,4,1,1,1,1,1,31000,2
43,2,0,0,0,0,1,31000,2
71,5,1,2,1,2,1,43000,2
38,2,0,0,2,0,1,43000,2
54,3,0,1,1,0,1,31000,2
31,2,0,0,2,0,1,31000,2
46,2,0,0,2,0,1,43000,2
31,3,0,1,2,0,2,43000,2
130,4,0,2,1,2,1,43000,2
53,4,2,0,2,0,1,31000,2
34,7,5,0,1,0,1,31000,2
19,2,0,0,0,0,1,31000,2
