houseid,ntrip,hhsize,num0to4,num5to21,numadult,numwork,numdrive,income,numcars
1,0,2,0,0,2,1,0,7500,0
14,10,2,0,0,2,0,2,27500,1
15,4,4,1,0,3,0,0,40565,2
16,0,2,0,0,2,1,1,7500,2
17,8,4,0,2,2,2,2,57500,2
28,21,5,0,1,4,3,3,40565,3
30,10,4,0,2,2,1,2,32500,2
45,6,2,0,0,2,0,1,67500,2
48,12,4,0,2,2,1,1,52500,2
49,6,2,0,0,2,1,1,17500,2
51,14,6,0,1,5,5,5,100000,5
65,6,2,0,0,2,2,2,32500,2
78,6,2,0,0,2,2,2,72500,2
99,2,1,0,0,1,1,1,40565,2
111,0,4,0,2,2,1,2,37500,2
116,12,4,0,2,2,3,3,40565,3
118,9,3,0,1,2,2,1,22500,1
126,2,2,0,0,2,1,2,27500,1
141,0,3,1,0,2,1,2,40565,2
145,19,3,0,1,2,3,2,27500,1
157,9,2,1,0,1,1,1,22500,1
201,0,3,0,1,2,0,1,40565,0
212,32,7,0,5,2,2,2,40565,3
217,4,3,0,0,3,1,1,40565,3
229,7,4,2,0,2,1,2,32500,2
241,12,4,2,0,2,1,2,67500,1
243,0,1,0,0,1,0,1,40565,1
259,4,1,0,0,1,1,1,40565,1
264,3,2,0,0,2,0,2,40565,1
280,7,5,0,0,5,2,2,22500,2
282,6,3,0,0,3,2,2,40565,1
283,3,1,0,0,1,1,1,32500,2
286,7,4,0,2,2,1,1,100000,2
289,5,3,0,0,3,1,1,100000,4
291,2,1,0,0,1,1,0,40565,0
297,8,3,0,0,3,1,2,27500,2
298,0,1,0,0,1,0,1,12500,1
307,22,3,0,1,2,3,3,40565,3
329,13,4,0,2,2,3,3,100000,5
331,8,4,0,2,2,2,2,57500,2
343,6,4,2,0,2,2,2,47500,2
373,10,2,0,0,2,2,2,57500,2
389,9,1,0,0,1,1,1,37500,0
395,2,10,3,3,4,2,3,42500,1
402,16,3,0,1,2,2,1,42500,1
405,10,2,0,0,2,2,2,47500,3
408,2,2,0,1,1,1,1,36153,1
415,23,5,0,3,2,1,3,72500,3
431,2,1,0,0,1,1,1,100000,1
444,3,1,0,0,1,1,1,27500,1
454,0,1,0,0,1,0,0,43371,0
474,4,1,0,0,1,0,1,7500,1
476,5,2,0,0,2,2,2,47500,2
487,4,2,0,0,2,1,2,43371,2
505,8,4,0,2,2,1,1,47500,2
517,11,4,0,2,2,3,1,43371,1
519,5,2,0,0,2,2,2,47500,2
540,16,4,0,2,2,0,2,77500,2
547,0,1,0,0,1,0,1,43371,1
551,3,5,0,3,2,3,3,57500,3
552,7,3,0,1,2,0,2,42500,1
564,14,5,0,2,3,2,2,43371,2
579,7,4,0,0,4,3,2,43371,5
590,12,5,0,3,2,2,2,27500,2
612,6,6,0,4,2,3,4,43371,3
623,22,7,1,4,2,4,4,62500,3
638,4,3,0,1,2,1,2,43371,2
639,5,5,0,1,4,1,1,100000,3
642,8,2,0,0,2,1,2,43371,3
648,7,3,0,1,2,1,1,43371,3
651,5,1,0,0,1,1,1,22500,1
653,12,4,2,0,2,1,2,37500,2
665,8,5,0,0,5,3,5,43371,4
672,4,2,0,0,2,1,2,43371,3
674,5,1,0,0,1,1,1,43371,1
684,6,2,0,1,1,1,2,32500,2
690,0,2,0,0,2,0,2,17500,2
694,2,1,0,0,1,0,1,22500,1
698,0,1,0,0,1,0,1,43371,0
716,8,3,0,1,2,3,3,52500,2
